"canonical_locality_id","arabic_name","source_id","source_record_id","source_url","source_sha256","match_method","review_status","review_reference"
"LB-LOC-65F96B55D106","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-F446C5F6AE69","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-B9E40ED1E560","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-B22F8F1CCD0E","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-F268F0BEFC9F","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-231521EC324B","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-EA89453D607B","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-15CD5AB97FFB","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-33E41FE0A08A","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-64F07EE78E94","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-9A4BA04DF886","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-789AB5A518F2","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-26EEEF38E69A","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-92417DA44FAC","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-65571ABD7D73","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-483276F1AEF7","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-EDD7BFE366EC","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-8E6592ACF4D7","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-C8D062D49764","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-CEFF45D87CC0","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
"LB-LOC-C7AA0B703A04","","","","","","fuzzy-suggestion","unresolved","UL2A-AR-UNRESOLVED"
