"id","countryCode","governorateId","districtId","municipalityId","cadastralCode","pcode","nameAr","nameEn","nameFr","kind","latitude","longitude","coordinateMethod","coordinateSource","coordinateAccuracy","coordinateVerifiedStatus","verifiedStatus","aliases","sourceRecordId","active","provenance"
"LB-LOC-35219","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35219","هوشب","Haouchab","","populated-place","34.58666969","36.10164105","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35219","true","[object Object]"
"LB-LOC-35221","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35221","الحيصة","Hayssa","","populated-place","34.58882649","36.04973553","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35221","true","[object Object]"
"LB-LOC-35463","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35463","هيتلا","Haytla","","populated-place","34.60449682","36.13026137","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35463","true","[object Object]"
"LB-LOC-35139","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35139","حيزوق","Hayzouq","","populated-place","34.55119939","36.13692596","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35139","true","[object Object]"
"LB-LOC-35169","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35169","الهد","Hedd","","populated-place","34.56262393","36.15663073","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35169","true","[object Object]"
"LB-LOC-35331","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35331","الحميرة","Hmaireh Aakkar","","populated-place","34.49549137","36.04730321","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35331","true","[object Object]"
"LB-LOC-35470","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35470","حميص","Hmaiss Aakkar","","populated-place","34.57384863","36.12479393","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35470","true","[object Object]"
"LB-LOC-35514","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35514","حنيدر","Hnaider","","populated-place","34.61546422","36.41891726","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35514","true","[object Object]"
"LB-LOC-35253","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35253","حكر الضاهري","Hokr Ed-Dahri","","populated-place","34.63118811","36.02414921","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35253","true","[object Object]"
"LB-LOC-35223","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35223","حكر قتة","Hokr Etti","","populated-place","34.56866439","36.10969098","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35223","true","[object Object]"
"LB-LOC-35239","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35239","حكر جورة سرار","Hokr Jouret Srar","","populated-place","34.63062579","36.10886626","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35239","true","[object Object]"
"LB-LOC-35322","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35322","الحويش","Houaich","","populated-place","34.49288641","36.12002845","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35322","true","[object Object]"
"LB-LOC-35328","LB","LB-GOV-0B6790F71D48","LB-DIST-C08378A1F450","","","35328","حرار","Hrar","","populated-place","34.45808591","36.12819689","national-manifest","C:\xampp\htdocs\projectx\watanybot\packages\lebanese-administrative-authority\authority\sources\arabic\national-village-manifest-clean.csv","","source-reported","accepted","","35328","true","[object Object]"
