"id","value","normalizedValue","language","localityId","provenance","active"
"LB-ALIAS-196F1EEAF458","Wadi_el-Arayech-ZA","wadi_el arayech za","en","LB-LOC-720C54DF24D6","[object Object]","true"
"LB-ALIAS-5619600702DE","Zahle","zahle","en","LB-LOC-00CA3CDEEAA2","[object Object]","true"
"LB-ALIAS-48DE90DEDB58","Zahle_Houch_ez-Zaraaneh","zahle_houch_ez zaraaneh","en","LB-LOC-69037F655ADE","[object Object]","true"
"LB-ALIAS-7259B119B930","Zahle_el-Balad","zahle_el balad","en","LB-LOC-85F37169DA73","[object Object]","true"
"LB-ALIAS-C27F1FB6323A","Ain_Majdalein","ain_majdalein","en","LB-LOC-E56AB1AE489B","[object Object]","true"
"LB-ALIAS-B2A766D706AD","Ain_Majdalein-JZ","ain_majdalein jz","en","LB-LOC-6CEADBA8881F","[object Object]","true"
"LB-ALIAS-1E824AE5CB2E","Ain_Qanya-JZ","ain_qanya jz","en","LB-LOC-9C3AB261EFBB","[object Object]","true"
"LB-ALIAS-6C67F1F15BF6","Ain_el-Mir-JZ","ain_el mir jz","en","LB-LOC-71582A5795DC","[object Object]","true"
"LB-ALIAS-FCD52575C341","Ara_ech-Chamaliye","ara_ech chamaliye","en","LB-LOC-5DBB1E2CF432","[object Object]","true"
"LB-ALIAS-9003A564BD5F","Areed","areed","en","LB-LOC-3F5F358AE491","[object Object]","true"
"LB-ALIAS-ED367D71BC19","Azour","azour","en","LB-LOC-54DC036B175D","[object Object]","true"
"LB-ALIAS-3B20E8E12E3F","Beit_Idriss","beit_idriss","en","LB-LOC-7037B06E06C0","[object Object]","true"
"LB-ALIAS-7B9F1B778816","Beit_el-Mir","beit_el mir","en","LB-LOC-D0E1C3CC2248","[object Object]","true"
"LB-ALIAS-47695E61F6D8","Bisri","bisri","en","LB-LOC-66827D9DC16D","[object Object]","true"
"LB-ALIAS-EFC42281B6A8","Bkassine","bkassine","en","LB-LOC-C4F8D47052F6","[object Object]","true"
"LB-ALIAS-ADEFDE010383","Bkassine_el-Aala","bkassine_el aala","en","LB-LOC-67ED016E05E6","[object Object]","true"
"LB-ALIAS-6AAF89EA6C4A","Boureh","boureh","en","LB-LOC-514464A682E4","[object Object]","true"
"LB-ALIAS-9553AD51AB1E","Btater-JZ","btater jz","en","LB-LOC-8BE01F72BE43","[object Object]","true"
"LB-ALIAS-92198826EF2C","Dhour_Jezzine","dhour_jezzine","en","LB-LOC-D0433AB8E99D","[object Object]","true"
"LB-ALIAS-07143BA115EF","El-Harf","el harf","en","LB-LOC-1322879BC7F4","[object Object]","true"
"LB-ALIAS-5729037E11C9","Hamlaya-JZ","hamlaya jz","en","LB-LOC-A16B872AA5A2","[object Object]","true"
"LB-ALIAS-D1A745543886","Haret_Jezzine","haret_jezzine","en","LB-LOC-13519382C03C","[object Object]","true"
"LB-ALIAS-FD244D8512DA","Hasbaya_Jezzine","hasbaya_jezzine","en","LB-LOC-BFEAF296D684","[object Object]","true"
"LB-ALIAS-15751F8DD1A0","Haydab","haydab","en","LB-LOC-81A2A2C6261D","[object Object]","true"
"LB-ALIAS-0120E3B04F6C","Houmine","houmine","en","LB-LOC-CC84A2BB96A6","[object Object]","true"
"LB-ALIAS-80195F9968CB","Jarmuq","jarmuq","en","LB-LOC-CC9A799DBFCD","[object Object]","true"
"LB-ALIAS-F66F838C0075","Jezzine","jezzine","en","LB-LOC-2DAB920FF031","[object Object]","true"
"LB-ALIAS-914836A02FF9","Kfar_Faqoud-JZ","kfar_faqoud jz","en","LB-LOC-BFC75A8E957A","[object Object]","true"
"LB-ALIAS-4EEA826D4CD0","Kfar_Houne-JZ","kfar_houne jz","en","LB-LOC-D208AC02B792","[object Object]","true"
"LB-ALIAS-4224C17F9DAF","Kfar_Jouz-JZ","kfar_jouz jz","en","LB-LOC-AF01215FA72A","[object Object]","true"
"LB-ALIAS-14F388A34925","Lebaa-JZ","lebaa jz","en","LB-LOC-28EFB4C92F12","[object Object]","true"
"LB-ALIAS-75D3AA4DC359","Maaseriti","maaseriti","en","LB-LOC-DE8DC1213622","[object Object]","true"
"LB-ALIAS-CB6A728BB4C6","Machmoucheh","machmoucheh","en","LB-LOC-F0742AE90A44","[object Object]","true"
"LB-ALIAS-477D57EE7295","Machouq","machouq","en","LB-LOC-1573AD221360","[object Object]","true"
"LB-ALIAS-A3BE88F1E9D9","Machouq_el-Aala","machouq_el aala","en","LB-LOC-E8C5447F2116","[object Object]","true"
"LB-ALIAS-897CD5298756","Madirej-JZ","madirej jz","en","LB-LOC-6A1E73483E3A","[object Object]","true"
"LB-ALIAS-CE0E8634399C","Marj_ez-Zaatar","marj_ez zaatar","en","LB-LOC-BC22B6E38E80","[object Object]","true"
"LB-ALIAS-D485FDAC39D5","Mdawkha","mdawkha","en","LB-LOC-67B0C84EDF8B","[object Object]","true"
"LB-ALIAS-A1B85323DFE8","Midan-JZ","midan jz","en","LB-LOC-7E88EFC96509","[object Object]","true"
"LB-ALIAS-AB8E3CA95479","Moustaytia","moustaytia","en","LB-LOC-1BE13EBB0B41","[object Object]","true"
"LB-ALIAS-406551457241","Niha_Jezzine","niha_jezzine","en","LB-LOC-A003060C9FE6","[object Object]","true"
"LB-ALIAS-87ECC4BDDC74","Qattin","qattin","en","LB-LOC-50964D8EC155","[object Object]","true"
"LB-ALIAS-440503ACEF59","Qytouleh","qytouleh","en","LB-LOC-A8899A087182","[object Object]","true"
"LB-ALIAS-BA137A28DCBB","Qytouleh_el-Aala","qytouleh_el aala","en","LB-LOC-4276E5D509EB","[object Object]","true"
"LB-ALIAS-499A79747A3E","Roum","roum","en","LB-LOC-2679C3D384C7","[object Object]","true"
"LB-ALIAS-8FB6884767B5","Roum_el-Aala","roum_el aala","en","LB-LOC-F82081359B99","[object Object]","true"
"LB-ALIAS-58CD99705B24","Sarba_Jezzine","sarba_jezzine","en","LB-LOC-C2D01C4EC24F","[object Object]","true"
"LB-ALIAS-D6D615475522","Snawbar","snawbar","en","LB-LOC-A82EB9A0216E","[object Object]","true"
"LB-ALIAS-DC00919124F0","Snayya","snayya","en","LB-LOC-CD1C7158A7CD","[object Object]","true"
"LB-ALIAS-2348DE3667B2","Wadi_Jezzine","wadi_jezzine","en","LB-LOC-70B3934A78BF","[object Object]","true"
"LB-ALIAS-32AB8406B473","Aawali","aawali","en","LB-LOC-0240DF3D5819","[object Object]","true"
"LB-ALIAS-AAAC19F96476","Abra","abra","en","LB-LOC-5AB576C6AE0C","[object Object]","true"
"LB-ALIAS-E9097E577DFB","Abra_el-Fawqa","abra_el fawqa","en","LB-LOC-0252E1CBD071","[object Object]","true"
